city_ascii;lat;lng;country;iso3;population;pop_weight
Tokyo;35.685;139.7514;Japan;JPN;35676000;0.08090498
Mexico City;19.4424;-99.131;Mexico;MEX;19028000;0.124056117
Dhaka;23.7231;90.4086;Bangladesh;BGD;12797394;0.15307767
Buenos Aires;-34.6025;-58.3975;Argentina;ARG;12795000;0.182093793
Cairo;30.05;31.25;Egypt;EGY;11893000;0.209064388
Beijing;39.9289;116.3883;China;CHN;11106000;0.234250247
Manila;14.6042;120.9822;Philippines;PHL;11100000;0.259422499
Moscow;55.7522;37.6155;Russia;RUS;10452000;0.283125236
Paris;48.8667;2.3333;France;FRA;9904000;0.305585235
Seoul;37.5663;126.9997;South Korea;KOR;9796000;0.327800315
Jakarta;-6.1744;106.8294;Indonesia;IDN;9125000;0.348493721
London;51.5;-0.1167;United Kingdom;GBR;8567000;0.367921711
Lima;-12.048;-77.0501;Peru;PER;8012000;0.386091088
Tehran;35.6719;51.4243;Iran;IRN;7873000;0.403945245
Kinshasa;-4.3297;15.315;Congo (Kinshasa);COD;7843000;0.421731369
Bogota;4.5964;-74.0833;Colombia;COL;7772000;0.439356481
Taipei;25.0358;121.5683;Taiwan;TWN;6900273;0.455004717
Bangkok;13.75;100.5166;Thailand;THA;6704000;0.47020785
Santiago;-33.45;-70.667;Chile;CHL;5720000;0.483179497
Madrid;40.4;-3.6834;Spain;ESP;5567000;0.495804176
Washington;38.9047;-77.0163;United States;USA;5289420;0.507799366
Singapore;1.293;103.8558;Singapore;SGP;5183700;0.519554808
Luanda;-8.8383;13.2344;Angola;AGO;5172900;0.531285758
Baghdad;33.3386;44.3939;Iraq;IRQ;5054000;0.54274707
Khartoum;15.5881;32.5342;Sudan;SDN;4754000;0.553528051
Riyadh;24.6408;46.7727;Saudi Arabia;SAU;4465000;0.563653646
Hanoi;21.0333;105.85;Vietnam;VNM;4378000;0.573581946
Rangoon;16.7834;96.1667;Burma;MMR;4088000;0.582852591
Abidjan;5.32;-4.04;CÃ´te Dâ€™Ivoire;CIV;3802000;0.591474655
Brasilia;-15.7833;-47.9161;Brazil;BRA;3716996;0.599903949
Ankara;39.9272;32.8644;Turkey;TUR;3716000;0.608330984
Berlin;52.5218;13.4015;Germany;DEU;3406000;0.61605501
Algiers;36.7631;3.0506;Algeria;DZA;3354000;0.623661112
Rome;41.896;12.4833;Italy;ITA;3339000;0.631233198
Pyongyang;39.0194;125.7547;North Korea;PRK;3300000;0.638716841
Kabul;34.5167;69.1833;Afghanistan;AFG;3277000;0.646148324
Athens;37.9833;23.7333;Greece;GRC;3242000;0.653500436
Cape Town;-33.92;18.435;South Africa;ZAF;3215000;0.660791319
Addis Ababa;9.0333;38.7;Ethiopia;ETH;3100000;0.667821407
Nairobi;-1.2833;36.8167;Kenya;KEN;3010000;0.674647396
Caracas;10.501;-66.917;Venezuela;VEN;2985000;0.681416691
Dar es Salaam;-6.8;39.2683;Tanzania;TZA;2930000;0.688061259
Lisbon;38.7227;-9.1449;Portugal;PRT;2812000;0.694438229
Kyiv;50.4334;30.5166;Ukraine;UKR;2709000;0.70058162
Dakar;14.7158;-17.4731;Senegal;SEN;2604000;0.706486894
Damascus;33.5;36.3;Syria;SYR;2466000;0.712079216
Tunis;36.8028;10.1797;Tunisia;TUN;2412500;0.717550212
