Entity,Code,Year,Energy_use
Albania,ALB,1971,9131.428547
Albania,ALB,1972,10066.84056
Albania,ALB,1973,8870.495957
Albania,ALB,1974,9035.751131
Albania,ALB,1975,9617.452702
Albania,ALB,1976,10361.78758
Albania,ALB,1977,10742.96673
Albania,ALB,1978,11755.82754
Albania,ALB,1979,10050.63972
Albania,ALB,1980,13369.1048
Albania,ALB,1981,11504.39773
Albania,ALB,1982,11242.52659
Albania,ALB,1983,11631.41901
Albania,ALB,1984,11842.40034
Albania,ALB,1985,10659.53687
Albania,ALB,1986,11210.47298
Albania,ALB,1987,10721.6161
Albania,ALB,1988,10789.66875
Albania,ALB,1989,10425.57118
Albania,ALB,1990,9458.163739
Albania,ALB,1991,6661.452845
Albania,ALB,1992,4864.673504
Albania,ALB,1993,4795.96638
Albania,ALB,1994,5131.729306
Albania,ALB,1995,4850.115224
Albania,ALB,1996,5208.482361
Albania,ALB,1997,4472.839365
Albania,ALB,1998,4962.321186
Albania,ALB,1999,6701.015643
Albania,ALB,2000,6751.154108
Albania,ALB,2001,6946.194888
Albania,ALB,2002,7676.358055
Albania,ALB,2003,7538.198342
Albania,ALB,2004,8320.270438
Albania,ALB,2005,8368.766317
Albania,ALB,2006,8220.774912
Albania,ALB,2007,7906.792328
Albania,ALB,2008,8266.005037
Albania,ALB,2009,8516.843009
Albania,ALB,2010,8480.065355
Albania,ALB,2011,8896.585011
Albania,ALB,2012,8000.233502
Albania,ALB,2013,9319.467609
Albania,ALB,2014,9402.341415
Algeria,DZA,1971,2693.27459
Algeria,DZA,1972,3040.841262
Algeria,DZA,1973,3548.630908
Algeria,DZA,1974,3712.556938
Algeria,DZA,1975,3842.517679
Algeria,DZA,1976,4262.649657
Algeria,DZA,1977,4636.3706
Algeria,DZA,1978,5544.932377
Algeria,DZA,1979,6819.149323
Algeria,DZA,1980,6739.021568
Algeria,DZA,1981,7104.006385
Algeria,DZA,1982,8969.468838
Algeria,DZA,1983,9395.214818
Algeria,DZA,1984,9028.806132
Algeria,DZA,1985,9144.971475
Algeria,DZA,1986,10029.87665
Algeria,DZA,1987,9624.432435
Algeria,DZA,1988,9882.093879
Algeria,DZA,1989,9540.210863
Algeria,DZA,1990,9957.127726
Algeria,DZA,1991,10277.72596
Algeria,DZA,1992,10277.89919
Algeria,DZA,1993,10089.90074
Algeria,DZA,1994,9528.052276
Algeria,DZA,1995,9754.881004
Algeria,DZA,1996,9282.424442
Algeria,DZA,1997,9360.595643
Algeria,DZA,1998,9544.131335
Algeria,DZA,1999,10045.84525
Algeria,DZA,2000,10067.69513
Algeria,DZA,2001,9957.754209
Algeria,DZA,2002,10517.29612
Algeria,DZA,2003,11036.39883
Algeria,DZA,2004,11028.01013
Algeria,DZA,2005,11326.21216
Algeria,DZA,2006,11952.5751
Algeria,DZA,2007,12490.61606
Algeria,DZA,2008,12434.79851
Algeria,DZA,2009,13367.22177
Algeria,DZA,2010,12908.04932
Algeria,DZA,2011,13208.70806
Algeria,DZA,2012,14230.37253
Algeria,DZA,2013,14433.27609
Algeria,DZA,2014,15364.38711
Angola,AGO,1971,6464.91413
Angola,AGO,1972,6795.585206
Angola,AGO,1973,6600.737218
Angola,AGO,1974,6566.045564
